beast,0.845825
blastn,0.497365
gunzip,0.054116
muscle,1.330236
nhmmer,0.621253
phyml,1.401768
prokka,0.112731
snippy,0.727940
velvetg,1.191412
velveth,1.062123
geometric mean,0.554311

beast,,,,,,,,,,,,,avg,stdev,min,max
Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
File system inputs,752.0,752.0,752.0,760.0,752.0,760.0,752.0,752.0,752.0,752.0,752.0,,753.4545454545455,3.236159339823562,752.0,760.0
File system outputs,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,,184.0,0.0,184.0,184.0
Socket messages sent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Socket messages received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Signals delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Page size (bytes),4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,,4096.0,0.0,4096.0,4096.0
Exit status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Submission date and time,  2015-07-24 00:41:31,  2015-07-24 01:44:39,  2015-07-24 02:48:24,  2015-07-24 03:52:34,  2015-07-24 04:59:11,  2015-07-24 06:07:49,  2015-07-24 07:25:40,  2015-07-24 08:36:59,  2015-07-24 09:53:09,  2015-07-24 11:11:12,  2015-07-24 11:54:58

nhmmer,,,,,,,,,,,,,avg,stdev,min,max
User time (seconds),139.8,111.56,111.09,100.29,113.01,103.13,102.62,101.19,103.57,102.52,102.7,,108.31636363636363,11.374039100273286,100.29,139.8
System time (seconds),0.66,0.54,0.57,0.6,0.64,0.54,0.52,0.54,0.64,0.61,0.63,,0.59,0.04979959839195493,0.52,0.66
Fraction of CPU this job got,3.64,3.36,3.48,3.41,3.28,3.26,3.27,2.73,3.26,3.25,3.29,,3.2936363636363635,0.22254315209741807,2.73,3.64
Elapsed (wall clock) time in seconds,38.49,33.3,32.08,29.58,34.64,31.8,31.47,37.2,31.89,31.72,31.39,,33.05090909090909,2.689191159235263,29.58,38.49
Average shared text size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average unshared data size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average stack size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average total size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Maximum resident set size (kbytes),868576.0,869848.0,870576.0,868536.0,871348.0,870372.0,872572.0,870204.0,870412.0,869784.0,869420.0,,870149.8181818182,1159.488664729571,868536.0,872572.0
Average resident set size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Major (requiring I/O) page faults,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,0.0,5.0,5.0
Minor (reclaiming a frame) page faults,161457.0,156506.0,153096.0,151030.0,154409.0,149906.0,156463.0,151376.0,153580.0,154099.0,153398.0,,154120.0,3190.533936506553,149906.0,161457.0
Voluntary context switches,210.0,197.0,176.0,207.0,185.0,198.0,236.0,180.0,194.0,189.0,187.0,,196.27272727272728,16.829087373300485,176.0,236.0
Involuntary context switches,383.0,329.0,320.0,324.0,456.0,351.0,349.0,356.0,1863.0,362.0,391.0,,498.54545454545456,454.1641473380222,320.0,1863.0
Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
File system inputs,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,,1680.0,0.0,1680.0,1680.0
